IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.243.162.49,2082,2082,false,HKG,Asia Pacific,Hong Kong,52,4.31
8.209.200.73,8443,8443,true,NRT,Asia Pacific,Tokyo,78,4.31
47.236.4.129,8080,8080,false,SIN,Asia Pacific,Singapore,20,4.31
8.219.174.213,2087,2087,true,SIN,Asia Pacific,Singapore,68,4.31
8.217.207.60,2087,2087,true,HKG,Asia Pacific,Hong Kong,49,4.31
47.245.114.163,2082,2082,false,SIN,Asia Pacific,Singapore,9,4.31
47.74.10.140,80,80,false,HKG,Asia Pacific,Hong Kong,165,4.31
47.236.114.167,80,80,false,SIN,Asia Pacific,Singapore,37,4.31
47.242.17.250,8080,8080,false,HKG,Asia Pacific,Hong Kong,47,4.30
47.74.7.51,80,80,false,NRT,Asia Pacific,Tokyo,78,4.30
8.222.193.65,443,443,true,SIN,Asia Pacific,Singapore,77,4.30
8.219.124.227,2053,2053,true,SIN,Asia Pacific,Singapore,102,4.29
47.91.19.165,8080,8080,false,NRT,Asia Pacific,Tokyo,75,4.29
8.219.153.44,2053,2053,true,SIN,Asia Pacific,Singapore,122,4.29
8.219.73.21,2053,2053,true,SIN,Asia Pacific,Singapore,79,4.29
47.236.99.131,8880,8880,false,SIN,Asia Pacific,Singapore,19,4.28
8.222.208.38,443,443,true,SIN,Asia Pacific,Singapore,57,4.28
47.74.18.121,2095,2095,false,NRT,Asia Pacific,Tokyo,89,4.28
47.236.7.13,2087,2087,true,SIN,Asia Pacific,Singapore,26,4.28
47.74.23.99,8880,8880,false,NRT,Asia Pacific,Tokyo,81,4.28
8.219.145.245,8080,8080,false,SIN,Asia Pacific,Singapore,6,4.28
47.236.4.129,2086,2086,false,SIN,Asia Pacific,Singapore,25,4.28
47.236.7.206,80,80,false,SIN,Asia Pacific,Singapore,23,4.27
8.222.210.182,2095,2095,false,SIN,Asia Pacific,Singapore,31,4.27
8.209.243.137,2096,2096,true,NRT,Asia Pacific,Tokyo,86,4.27
8.209.200.73,2053,2053,true,NRT,Asia Pacific,Tokyo,106,4.27
47.236.119.253,80,80,false,SIN,Asia Pacific,Singapore,21,4.27
47.91.21.107,8443,8443,true,NRT,Asia Pacific,Tokyo,173,4.27
8.210.119.11,8880,8880,false,HKG,Asia Pacific,Hong Kong,46,4.27
47.236.15.73,2095,2095,false,SIN,Asia Pacific,Singapore,15,4.26
47.245.115.6,2053,2053,true,SIN,Asia Pacific,Singapore,40,4.26
8.219.87.34,2095,2095,false,SIN,Asia Pacific,Singapore,13,4.25
8.219.58.64,2096,2096,true,SIN,Asia Pacific,Singapore,116,4.25
8.209.200.73,80,80,false,NRT,Asia Pacific,Tokyo,78,4.25
47.236.4.129,2052,2052,false,SIN,Asia Pacific,Singapore,24,4.25
8.210.21.65,443,443,true,HKG,Asia Pacific,Hong Kong,67,4.25
47.74.16.67,2053,2053,true,NRT,Asia Pacific,Tokyo,144,4.25
8.219.209.14,8080,8080,false,SIN,Asia Pacific,Singapore,13,4.25
47.76.80.72,8443,8443,true,HKG,Asia Pacific,Hong Kong,66,4.24
47.245.41.169,2083,2083,true,NRT,Asia Pacific,Tokyo,72,4.24
8.209.241.128,80,80,false,NRT,Asia Pacific,Tokyo,95,4.24
8.217.207.60,80,80,false,HKG,Asia Pacific,Hong Kong,56,4.24
47.245.108.213,2053,2053,true,SIN,Asia Pacific,Singapore,34,4.24
8.210.21.65,8880,8880,false,HKG,Asia Pacific,Hong Kong,69,4.24
47.236.116.26,8880,8880,false,SIN,Asia Pacific,Singapore,33,4.23
47.245.114.163,8080,8080,false,SIN,Asia Pacific,Singapore,7,4.23
